a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20220623.0-1
accounts-qml-module 0.7-4
acl 2.3.1-2
acpi 1.7-3
acpitool 0.5.1-6
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aic94xx-firmware 30-9
alacritty 0.10.1-2
alsa-card-profiles 1:0.3.56-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
android-file-transfer 4.2-2
android-studio 2021.2.1.15-1
android-tools 31.0.3-6
android-udev 20220611-1
aom 3.4.0-1
appstream-glib 0.7.18-2
arandr 0.1.10-7
archlinux-keyring 20220713-1
arduino 1:1.8.19-1
arduino-builder 1.6.1-2
arduino-ctags 5.8_arduino11-4
argon2 20190702-4
asciidoc 10.2.0-1
aspnet-runtime 6.0.6.sdk106-1
aspnet-runtime-2.2 2.2.8.sdk207-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
attica 5.96.0-1
attr 2.5.1-2
audacity 1:2.4.1-9
audiofile 0.3.6-6
audit 3.0.8-1
augeas 1.12.0-2
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
autoconf2.13 2.13-6
automake 1.16.5-1
autorandr 1.12.1-2
avahi 0.8+22+gfd482a7-3
babl 0.1.92-1
base 2-2
bash 5.1.016-1
batsignal 1.5.0-1
bc 1.07.1-4
betterlockscreen-git v4.0.4.r0.ge6c5530-1
binutils 2.38-6
bison 3.8.2-4
bitwarden-cli 2022.6.2-2
blas 3.10.1-1
blueman 2.3.1-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-utils 5.64-2
boost 1.79.0-1
boost-libs 1.79.0-1
botan 2.19.2-1
box2d 2.4.1-1
breeze-icons 5.96.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brillo 1.4.10-2
brotli 1.0.9-8
btop 1.2.8-1
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.81-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.6-2
cairomm 1.14.3-2
calculator-git 0.2-1
cantarell-fonts 1:0.303.1-1
cbindgen 0.24.3-1
cblas 3.10.1-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
chezmoi 2.19.0-1
chroma-bin 2.2.0-1
chromaprint 1.5.1-3
chrpath 0.16-3
cifs-utils 6.15-1
clang 14.0.6-1
clucene 2.3.3.4-12
cmake 3.23.2-2
cntb-bin 1.1.0-1
colord 1.4.6-1
colord-gtk 0.3.0-2
colord-gtk-common 0.3.0-2
compiler-rt 14.0.6-1
confuse 3.3-3
containerd 1.6.6-1
convertlit 1.8-10
coreutils 9.1-1
cpio 2.13-2
cracklib 2.9.7-2
cronie 1.6.1-1
cryptsetup 2.4.3-2
ctop 0.7.7-2
cups 1:2.4.2-3
cups-filters 1.28.15-1
curl 7.84.0-2
darktable 2:4.0.0-1
dart 2.17.6-1
dav1d 1.0.0-1
davinci-resolve 18.0-1
